C1,C2,C3a,C4b,C4a,C5a,C6I,C6f,C6a
-1,-1, +1,000,000, 00,000,000,000
-1,00, -1, +1,000, 00,000,000,000
-1,00, -1,000, +1, 00,000,000,000
-1,00, 00, -1,000, +1,000,000,000
-1,00, 00,000,000, -1, +1,000,000
-1,00, 00,000,000, -1,000,000, +1
00,-2, 00, +1,000, 00,000,000,000
00,-1, -1,000,000, +1,000,000,000
00,-1, 00, -1,000, 00, +1,000,000
00,-1, 00,000, -1, 00,000, +1,000
00,00, -2,000,000, 00,000,000, +1
00,+2, 00, -1,000, 00,000,000,000
00,+1, +1,000,000, -1,000,000,000
00,+1, 00, +1,000, 00, -1,000,000
00,+1, 00,000, +1, 00,000, -1,000
00,00, +2,000,000, 00,000,000, -1
00,00, 00,000,000, 00,000, -1, +1
